timestamp,level,source,message,is_anomaly
2025-09-04 04:09:04,DEBUG,access,GET /dashboard - 200 OK - 57ms,0
2025-09-04 13:34:54,WARN,error,Temporary service unavailable - maintenance mode,0
2025-09-04 09:36:09,WARN,security,Security scan completed - no threats detected,0
2025-09-04 05:00:49,INFO,security,Security scan completed - no threats detected,0
2025-09-04 15:40:25,DEBUG,access,User charlie accessed resource /api/users,0
2025-09-04 19:47:21,WARN,access,GET /api/users/9763 - 200 OK - 322ms,0
2025-09-04 14:21:49,DEBUG,security,SSL certificate validated for secure.company.com,0
2025-09-04 02:06:54,INFO,security,Password policy compliance check passed,0
2025-09-05 01:22:50,INFO,system,Service payment-service started successfully,0
2025-09-04 03:01:05,DEBUG,access,GET /dashboard - 200 OK - 198ms,0
2025-09-04 03:24:00,DEBUG,error,Temporary service unavailable - maintenance mode,0
2025-09-04 02:09:49,WARN,security,SSL certificate validated for app.company.com,0
2025-09-04 07:17:01,ALERT,system,CRITICAL: Service user-service crashed unexpectedly,1
2025-09-04 04:52:45,INFO,access,GET /dashboard - 200 OK - 156ms,0
2025-09-04 21:03:41,DEBUG,security,SSL certificate validated for api.company.com,0
2025-09-04 11:12:26,INFO,access,User charlie accessed resource /admin,0
2025-09-04 09:04:02,DEBUG,security,Firewall rule updated for 172.16.0.100,0
2025-09-04 11:51:24,DEBUG,security,Security scan completed - no threats detected,0
2025-09-05 02:09:41,INFO,error,Temporary service unavailable - maintenance mode,0
2025-09-04 16:19:31,ALERT,access,WARNING: Brute force attack detected from 192.168.1.10,1
2025-09-04 10:26:30,INFO,security,Firewall rule updated for 10.0.0.5,0
2025-09-04 02:32:26,WARN,access,POST /api/auth/login - 200 OK - User authenticated,0
2025-09-04 02:54:22,WARN,system,Scheduled backup completed - 91MB,0
2025-09-04 06:17:47,INFO,error,Non-critical error in payment - operation continued,0
2025-09-04 12:15:33,DEBUG,security,Access token refreshed for user bob,0
2025-09-04 15:32:09,DEBUG,access,POST /api/auth/login - 200 OK - User authenticated,0
2025-09-04 04:23:18,DEBUG,system,Database connection established,0
2025-09-04 20:46:51,INFO,access,GET /api/users/5590 - 200 OK - 429ms,0
2025-09-04 17:48:25,INFO,system,System health check completed successfully,0
2025-09-04 11:38:59,DEBUG,security,Security scan completed - no threats detected,0
2025-09-04 08:05:52,DEBUG,access,User charlie accessed resource /dashboard,0
2025-09-04 07:07:43,DEBUG,error,Rate limit exceeded for IP 172.16.0.100 - request throttled,0
2025-09-04 09:44:25,CRITICAL,access,CRITICAL: Privileged escalation attempt by user alice,1
2025-09-04 01:17:13,WARN,access,User bob accessed resource /reports,0
2025-09-05 01:55:19,WARN,access,POST /api/auth/login - 200 OK - User authenticated,0
2025-09-04 22:15:26,WARN,security,Access token refreshed for user eve,0
2025-09-04 23:19:39,WARN,system,Scheduled backup completed - 29MB,0
2025-09-04 09:20:14,INFO,error,Rate limit exceeded for IP 172.16.0.100 - request throttled,0
2025-09-04 15:46:06,WARN,system,Scheduled backup completed - 63MB,0
2025-09-04 19:35:01,DEBUG,error,Invalid request format - missing required field,0
2025-09-04 03:14:10,DEBUG,security,Security scan completed - no threats detected,0
2025-09-04 01:41:49,INFO,access,User eve successfully logged in from 203.0.113.45,0
2025-09-04 03:26:54,WARN,security,Access token refreshed for user frank,0
2025-09-04 22:50:08,DEBUG,system,Scheduled backup completed - 21MB,0
2025-09-04 11:12:11,ALERT,security,ALERT: Malware signature detected in uploaded file,1
2025-09-04 04:46:46,WARN,security,Firewall rule updated for 203.0.113.45,0
2025-09-04 07:15:34,INFO,security,Access token refreshed for user eve,0
2025-09-04 04:49:45,DEBUG,system,Database connection established,0
2025-09-04 22:49:11,INFO,access,User diana successfully logged in from 192.168.1.10,0
2025-09-04 20:40:26,WARN,access,User bob accessed resource /settings,0
2025-09-04 02:24:45,DEBUG,error,Temporary service unavailable - maintenance mode,0
2025-09-04 03:06:15,DEBUG,access,User alice successfully logged in from 10.0.0.5,0
2025-09-04 03:06:17,DEBUG,access,POST /api/auth/login - 200 OK - User authenticated,0
2025-09-04 08:55:36,DEBUG,error,Connection timeout to external service - retrying,0
2025-09-04 22:01:43,INFO,error,Connection timeout to external service - retrying,0
2025-09-04 03:09:32,INFO,system,Database connection established,0
2025-09-04 01:07:49,DEBUG,system,Scheduled backup completed - 80MB,0
2025-09-05 02:30:55,WARN,security,Security scan completed - no threats detected,0
2025-09-04 17:01:04,INFO,access,POST /api/auth/login - 200 OK - User authenticated,0
2025-09-04 04:01:23,INFO,security,SSL certificate validated for app.company.com,0
2025-09-05 01:15:32,WARN,system,System health check completed successfully,0
2025-09-04 20:35:30,INFO,system,Cache cleared - 841 items removed,0
2025-09-04 19:37:29,INFO,system,Database connection established,0
2025-09-04 10:37:46,ALERT,error,FATAL: Memory leak causing system instability,1
2025-09-04 22:24:34,DEBUG,system,Database connection established,0
2025-09-04 19:55:48,INFO,system,Scheduled backup completed - 74MB,0
2025-09-04 05:21:11,INFO,error,Rate limit exceeded for IP 10.0.0.5 - request throttled,0
2025-09-04 05:37:42,DEBUG,error,Rate limit exceeded for IP 192.168.1.10 - request throttled,0
2025-09-04 12:54:28,WARN,security,Security scan completed - no threats detected,0
2025-09-05 00:24:15,INFO,error,Temporary service unavailable - maintenance mode,0
2025-09-05 01:09:18,FATAL,error,CRITICAL: Cascade failure in microservices,1
2025-09-05 01:55:52,DEBUG,error,Invalid request format - missing required field,0
2025-09-04 21:48:24,DEBUG,error,Non-critical error in notification - operation continued,0
2025-09-04 15:39:57,WARNING,security,ALERT: Malware signature detected in uploaded file,1
2025-09-04 03:37:34,WARN,system,Service user-service started successfully,0
2025-09-04 15:01:33,INFO,access,User alice accessed resource /api/users,0
2025-09-04 07:25:21,WARN,access,User eve accessed resource /reports,0
2025-09-04 17:08:55,WARN,security,Access token refreshed for user diana,0
2025-09-04 10:12:19,DEBUG,security,SSL certificate validated for app.company.com,0
2025-09-04 12:47:18,DEBUG,system,Cache cleared - 501 items removed,0
2025-09-04 16:32:05,INFO,access,GET /dashboard - 200 OK - 240ms,0
2025-09-04 22:00:24,DEBUG,error,Non-critical error in notification - operation continued,0
2025-09-04 03:40:59,INFO,access,GET /api/users/5644 - 200 OK - 489ms,0
2025-09-04 08:51:43,FATAL,error,FATAL: Application crashed with stack overflow,1
2025-09-04 19:07:00,WARN,system,System health check completed successfully,0
2025-09-04 12:26:21,ALERT,security,CRITICAL: Data exfiltration attempt blocked,1
2025-09-04 22:55:32,DEBUG,security,Firewall rule updated for 192.168.1.10,0
2025-09-04 04:21:33,INFO,error,Connection timeout to external service - retrying,0
2025-09-04 16:44:24,DEBUG,access,User charlie accessed resource /api/users,0
2025-09-04 01:36:12,WARN,system,Scheduled backup completed - 17MB,0
2025-09-05 00:27:42,ALERT,access,CRITICAL: Privileged escalation attempt by user eve,1
2025-09-04 15:17:36,WARN,access,GET /dashboard - 200 OK - 294ms,0
2025-09-04 15:08:47,WARN,system,Service auth-service started successfully,0
2025-09-04 11:27:50,WARN,error,Rate limit exceeded for IP 172.16.0.100 - request throttled,0
2025-09-04 14:14:24,DEBUG,access,User bob successfully logged in from 192.168.1.10,0
2025-09-04 16:32:05,WARN,access,User bob accessed resource /dashboard,0
2025-09-04 12:53:46,DEBUG,error,Invalid request format - missing required field,0
2025-09-04 08:03:04,DEBUG,security,Password policy compliance check passed,0
2025-09-04 05:20:21,DEBUG,error,Connection timeout to external service - retrying,0
2025-09-04 06:28:06,DEBUG,system,Database connection established,0
2025-09-04 22:47:01,WARN,system,Scheduled backup completed - 64MB,0
2025-09-04 12:27:34,WARN,security,Password policy compliance check passed,0
2025-09-04 11:17:58,WARN,system,Database connection established,0
2025-09-04 08:06:36,INFO,error,Non-critical error in payment - operation continued,0
2025-09-04 17:07:38,INFO,security,Firewall rule updated for 192.168.1.10,0
2025-09-04 07:53:00,FATAL,access,CRITICAL: Multiple failed login attempts from 192.168.1.10 - 32 attempts,1
2025-09-04 01:58:56,WARN,access,GET /dashboard - 200 OK - 406ms,0
2025-09-04 22:48:28,WARN,error,Non-critical error in user - operation continued,0
2025-09-04 20:37:38,WARN,security,SSL certificate validated for app.company.com,0
